ATC_1,ATC_2,ATC_3,ATC_4,ATC_5,ATC_6,ATC_7,ATC_8,target
0.251101322,5.11E-01,7.64E-02,0.148311307,0.013215859,6.44E+02,584,60,1
0.273209549,0.517241379,0.066312997,0.140583554,0.00265252,360,325,35,1
0.264069264,0.52958153,0.067821068,0.138528139,0,662,608,54,1
0.272873194,0.497592295,0.070626003,0.149277689,0.009630819,597,534,63,1
2.69E-01,4.98E-01,0.065306122,1.53E-01,0.014285714,467,418,49,1
0.266294227,0.512104283,0.072625698,0.13594041,0.013035382,5.15E+02,468,47,1
0.261494253,0.517241379,0.077586207,0.137931034,0.005747126,663,6.01E+02,62,1
0.241784038,0.516431925,7.51E-02,1.53E-01,0.014084507,401,3.67E+02,34,1
2.50E-01,5.19E-01,9.74E-02,0.12012987,0.012987013,294,268,26,1
0.270348837,0.50872093,0.078488372,0.13372093,0.00872093,659,592,67,1
0.268537074,0.513026052,0.080160321,0.126252505,0.012024048,480,435,45,1
0.273504274,0.521367521,0.064102564,0.128205128,0.012820513,447,405,42,1
0.257676903,0.535380507,0.076101469,0.124165554,0.006675567,716,662,54,1
0.2681764,0.512514899,0.076281287,0.135876043,0.007151371,804,727,77,1
0.272058824,0.518382353,0.066176471,0.130514706,0.012867647,520,471,49,1
0.239534884,0.509302326,0.081395349,0.153488372,0.01627907,4.06E+02,371,35,1
0.245551601,0.523131673,0.088967972,0.135231317,7.12E-03,535,492,43,1
0.275630252,0.517647059,0.077310924,0.119327731,0.010084034,571,514,57,1
0.243816254,0.522968198,0.077738516,0.134275618,0.021201413,268,247,21,1
0.26910299,0.521594684,0.069767442,0.119601329,0.019933555,2.89E+02,264,2.50E+01,1
0.275,0.509375,0.06875,0.1375,0.009375,612,549,63,1
0.247960848,0.517128874,8.32E-02,0.141924959,9.79E-03,580,528,5.20E+01,1
0.258103241,5.09E-01,8.64E-02,1.31E-01,0.015606242,795,718,77,1
0.253187614,0.519125683,1.00E-01,1.24E-01,0.003642987,5.25E+02,477,48,1
0.271334792,0.527352298,0.080962801,0.115973742,0.004376368,443,407,36,1
0.265690377,0.512552301,0.073221757,0.135983264,0.012552301,459,4.18E+02,41,1
0.270742358,0.489082969,0.07860262,0.148471616,0.013100437,440,392,48,1
0.25,5.28E-01,7.82E-02,0.131516588,0.011848341,799,7.33E+02,66,1
0.264248705,5.03E-01,0.080310881,0.142487047,1.04E-02,738,6.63E+02,75,1
0.264270613,0.509513742,0.069767442,0.143763214,0.012684989,452,410,42,1
0.243614931,0.512770138,0.080550098,1.51E-01,0.011787819,480,437,43,1
0.276553106,0.521042084,0.068136273,0.120240481,0.014028056,481,438,43,1
2.45E-01,0.531152648,8.26E-02,0.126168224,0.015576324,610,565,45,1
0.243506494,0.496753247,0.068181818,0.178571429,0.012987013,290,263,27,1
0.265593561,4.97E-01,0.08249497,0.142857143,0.012072435,4.76E+02,426,50,1
0.252212389,0.52359882,0.084070796,0.131268437,0.008849558,646,592,54,1
0.247002398,0.520383693,0.088729017,0.130695444,0.013189448,793,726,67,1
0.238095238,0.514592934,0.084485407,0.155145929,0.007680492,613,560,53,1
0.261501211,0.503631961,0.06779661,0.152542373,0.014527845,392,353,39,1
0.269076305,0.52476573,0.064257028,0.139223561,0.002677376,710,644,66,1
0.281200632,0.511848341,0.069510269,0.126382306,0.011058452,611,551,60,1
0.266441821,0.522765599,0.077571669,0.123102867,0.010118044,568,517,51,1
0.276887872,0.519450801,5.72E-02,0.132723112,0.013729977,417,377,40,1
0.269642857,0.508928571,0.076785714,0.133928571,0.010714286,538,486,52,1
0.24408284,0.522189349,0.093195266,0.133136095,0.00739645,641,586,55,1
2.82E-01,0.507462687,7.46E-02,1.29E-01,0.007462687,516,461,55,1
0.245644599,0.541811847,0.081881533,1.20E-01,0.010452962,5.44E+02,505,39,1
2.44E-01,0.5173454,9.20E-02,0.140271493,0.006033183,628,5.72E+02,56,1
0.265027322,0.521857923,0.073770492,0.128415301,0.010928962,3.49E+02,317,32,1
0.246212121,0.518939394,0.079545455,0.140151515,0.015151515,251,231,20,1
0.267080745,0.495652174,0.073291925,0.154037267,0.009937888,770,690,80,1
0.282952548,0.506151142,0.07029877,0.128295255,0.012302285,549,492,57,1
0.295025729,0.497427101,0.072041166,0.130360206,0.005145798,566,501,65,1
0.267950963,0.49737303,0.066549912,0.1558669,0.012259194,545,489,56,1
0.262295082,0.504413619,6.56E-02,0.160151324,0.007566204,755,683,72,1
0.260047281,0.503546099,7.33E-02,1.49E-01,0.014184397,402,3.62E+02,40,1
2.50E-01,5.11E-01,8.19E-02,0.14380531,0.013274336,430,392,38,1
0.261248186,0.519593614,0.081277213,0.134978229,0.002902758,660,602,58,1
0.25093633,0.509363296,0.082397004,0.142322097,0.014981273,2.54E+02,231,23,1
0.259385666,0.517064846,0.080204778,0.129692833,1.37E-02,5.57E+02,504,53,1
0.254498715,0.519280206,0.077120823,0.131105398,0.017994859,3.71E+02,340,3.10E+01,1
0.268336315,0.527728086,0.069767442,0.134168157,0,533,485,48,1
0.266086957,0.509565217,0.074782609,0.137391304,0.012173913,551,499,52,1
0.267950963,0.541155867,0.064798599,0.117338004,0.008756567,547,506,41,1
0.270758123,0.498194946,0.079422383,0.129963899,0.02166065,265,236,29,1
0.268722467,0.513215859,0.063876652,1.41E-01,0.013215859,4.33E+02,392,41,1
0.280979827,0.495677233,0.07204611,0.142651297,0.008645533,669,596,73,1
2.67E-01,5.04E-01,7.82E-02,0.141809291,0.009779951,391,351,40,1
0.276985743,0.50509165,0.069246436,0.136456212,0.012219959,470,420,50,1
0.250798722,0.517571885,0.076677316,0.143769968,0.011182109,593,541,52,1
0.258527828,0.531418312,0.071813285,0.132854578,0.005385996,5.30E+02,4.87E+02,43,1
0.252707581,0.505415162,0.072202166,0.151624549,0.018050542,262,237,25,1
0.24197861,0.502673797,0.085561497,0.155080214,0.014705882,706,639,67,1
0.24845679,0.50154321,0.084876543,0.149691358,0.015432099,614,554,60,1
0.259090909,5.24E-01,0.078787879,0.127272727,0.010606061,630,576,54,1
0.265895954,0.504816956,7.71E-02,0.144508671,7.71E-03,4.95E+02,444,51,1
0.266283525,0.507662835,0.070881226,0.143678161,0.011494253,497,447,50,1
0.261275272,0.508553655,0.079315708,0.136858476,0.01399689,615,557,58,1
0.262337662,0.501298701,0.07012987,0.150649351,0.015584416,365,327,38,1
0.275675676,0.50990991,0.07027027,0.133333333,0.010810811,534,482,52,1
0.274618585,0.52149792,0.077669903,0.12482663,0.001386963,694,629,65,1
0.266244057,0.516640254,0.076069731,0.131537242,0.009508716,604,548,56,1
0.269547325,0.518518519,0.069958848,0.135802469,0.00617284,464,420,44,1
0.243037975,0.508860759,1.04E-01,1.29E-01,0.015189873,3.76E+02,341,35,1
0.242894057,0.531007752,0.07881137,0.138242894,0.009043928,731,675,56,1
0.244865719,0.515007899,0.091627172,0.142180095,0.006319115,601,548,53,1
0.256410256,0.504273504,0.082621083,0.145299145,0.011396011,333,299,34,1
0.239490446,0.514649682,0.086624204,0.146496815,0.012738854,740,675,65,1
2.45E-01,5.24E-01,0.081039755,1.42E-01,0.00764526,6.18E+02,567,51,1
0.256756757,0.517199017,7.74E-02,0.143734644,0.004914005,774,704,70,1
0.271287129,0.522772277,0.059405941,0.134653465,0.011881188,481,437,44,1
0.252730109,0.524180967,0.081123245,0.132605304,0.009360374,610,559,51,1
2.41E-01,0.510128913,0.075506446,1.60E-01,0.012891344,511,466,45,1
0.251633987,0.5,0.081699346,0.153594771,0.013071895,292,265,27,1
0.261666667,0.526666667,0.073333333,0.131666667,0.006666667,573,525,48,1
0.249534451,0.523277467,0.068901304,0.143389199,0.014897579,508,467,41,1
0.255125285,0.512528474,0.070615034,0.148063781,0.013667426,417,380,37,1
0.266903915,0.510676157,0.069395018,0.151245552,0.001779359,536,484,52,1
0.267260579,0.514476615,0.069042316,0.135857461,0.013363029,428,387,41,1
0.267175573,0.480916031,0.076335878,1.53E-01,0.022900763,2.50E+02,2.21E+02,29,1
0.255054432,5.10E-01,0.065318818,1.59E-01,0.01088647,6.10E+02,556,54,1
0.254617414,0.513192612,7.26E-02,0.146437995,0.013192612,720,656,6.40E+01,1
0.29969419,0.483180428,0.067278287,0.137614679,0.012232416,319,281,38,1
0.259302326,0.530232558,0.074418605,0.126744186,0.009302326,819,751,68,1
