pseAAC_1,pseAAC_2,pseAAC_3,pseAAC_4,pseAAC_5,pseAAC_6,pseAAC_7,pseAAC_8,pseAAC_9,pseAAC_10,pseAAC_11,pseAAC_12,pseAAC_13,pseAAC_14,pseAAC_15,pseAAC_16,pseAAC_17,pseAAC_18,pseAAC_19,pseAAC_20,pseAAC_21,pseAAC_22,pseAAC_23,pseAAC_24,pseAAC_25,pseAAC_26,pseAAC_27,pseAAC_28,pseAAC_29,pseAAC_30,target
0,0.00092062,0,0,0,0.000306873,0,0,0.000613746,0,0,0.000306873,0.00046031,0,0.000153437,0.00092062,0,0.000153437,0,0.000306873,0.087441236,0.097236022,0.116644578,0.110189873,0.118740828,0.081367003,0.087402596,0.130515169,0.07275894,0.093560967,1
0.000116827,0.00046731,0.000116827,0.000233655,0.000350482,0.000116827,0.000233655,0.000350482,0.000233655,0,0,0.000116827,0,0.000116827,0.000116827,0.000350482,0.000584137,0.00046731,0.000116827,0.000116827,0.085822262,0.105224527,0.110414577,0.103511706,0.10602053,0.095796546,0.093058119,0.102451197,0.089078403,0.104416346,1
0.000205192,0.000547179,0.000547179,6.84E-05,0.000205192,0.000410384,0,0.000136795,0,6.84E-05,0.000341987,0,6.84E-05,0.000136795,6.84E-05,0.000136795,0.000136795,0,6.84E-05,6.84E-05,0.12347702,0.078151775,0.11408487,0.096983752,0.099963376,0.078145003,0.100507432,0.111174005,0.086332516,0.107965577,1
0.000103227,0.000309681,0.000103227,0.000258068,5.16E-05,0.000258068,0,5.16E-05,5.16E-05,0,0,5.16E-05,0,0,0,0.000361295,0,5.16E-05,0.000258068,5.16E-05,0.098122985,0.098781531,0.118018959,0.085516425,0.126084427,0.102290976,0.103463628,0.075144159,0.103310551,0.087305045,1
0,0.000970394,0.000808661,0.000161732,0.000323465,0.000161732,0,0,0.000808661,0.000323465,0,0.000646929,0.000161732,0,0.000323465,0.000161732,0,0.000161732,0.000161732,0.000323465,0.113892643,0.136314113,0.091621499,0.10153721,0.104672221,0.085742857,0.078086792,0.091923722,0.108328285,0.082381761,1
0,0.00058295,0,0,0.000145737,0.00058295,0.000291475,0.000145737,0,0.000291475,0.000291475,0,0.000291475,0,0.000145737,0.000291475,0.000145737,0,0,0.000145737,0.111389279,0.095748582,0.097772982,0.112617478,0.12934144,0.09077062,0.134414924,0.085808091,0.095339838,0.043444804,1
0.000207333,0.000621998,0.000103666,0.000103666,0.000103666,0.000414665,0.000103666,0,0.00082933,0.000207333,0,0.000103666,0,0,0,0.000103666,0.000103666,0.000103666,0.000103666,0.000207333,0.123174362,0.099612282,0.102462219,0.084753499,0.10949745,0.088721984,0.098264759,0.084200417,0.097133186,0.108758854,1
7.76E-05,0.000620917,0,7.76E-05,0.000155229,0.000310459,7.76E-05,0.000232844,7.76E-05,0.000155229,0,7.76E-05,0.000310459,7.76E-05,0.000232844,0,0.000232844,7.76E-05,7.76E-05,0.000155229,0.1108663,0.123864326,0.108231375,0.075822086,0.088945472,0.109100514,0.113921911,0.092194568,0.067502223,0.106524253,1
0.000115476,0.000692857,0,0.000115476,0.000230952,0.000230952,0,0.000115476,0.000346428,0.000115476,0.000115476,0.000346428,0.000346428,0,0.000115476,0.000577381,0.000115476,0.000230952,0,0.000230952,0.107437198,0.085104737,0.108976531,0.079999983,0.106013376,0.082741012,0.094485997,0.124138839,0.09301107,0.114049592,1
0,0.000267356,0.000267356,0,0,0.000534711,0,0,0.000267356,0.000267356,0,0,0.000133678,0,0.000133678,0.000267356,0.000133678,0.000133678,0,0.000267356,0.100513469,0.120871297,0.093390159,0.076027505,0.082007924,0.134073601,0.09555696,0.102303724,0.080093803,0.112488002,1
